a52dec 0.8.0-2
libgirepository 1.82.0-1
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgme 0.6.3-5
libgpg-error 1.50-1
libgphoto2 2.5.31-2
libgravatar 24.08.1-1
libgudev 238-1
libgusb 0.4.9-1
libheif 1.18.2-2
libibus 1.5.30-3
libical 3.0.18-2
libice 1.1.1-3
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libieee1284 0.2.11-16
libimagequant 4.3.3-1
libimobiledevice 1.3.0-14
libimobiledevice-glue 1.3.0-1
libinih 58-1
libinput 1.26.2-1
libinstpatch 1.1.6-3
libisl 0.27-1
libjcat 0.2.1-1
libjpeg-turbo 3.0.4-1
libjxl 0.10.3-1
libkcddb 24.08.1-1
libkcddb5 24.08.0-1
libkcompactdisc 24.08.1-1
libkdcraw 24.08.1-1
libkdegames 24.08.1-1
libkdepim 24.08.1-1
libkeduvocdocument 24.08.1-1
libkexiv2 24.08.1-1
libkgapi 24.08.1-1
libkleo 24.08.1-1
libkmahjongg 24.08.1-1
libkolabxml 1.3.1-2
libkomparediff2 24.08.1-1
libksane 24.08.1-1
libksane5 24.08.1-1
libksba 1.6.7-1
libkscreen 6.1.5-1
libksieve 24.08.1-1
libksysguard 6.1.5-1
libktorrent 24.08.1-1
liblc3 1.1.1-1
libldac 2.0.2.3-2
libldap 2.6.8-2
libliftoff 0.5.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libluv 1.48.0_2-1
libmad 0.15.1b-10
libmalcontent 0.12.0-1
libmanette 0.2.9-1
libmatroska 1.7.1-2
libmaxminddb 1.11.0-1
libmbim 1.30.0-1
libmd 1.1.0-2
libmfx 23.2.2-3
libmicrodns 0.2.0-2
libmm-glib 1.22.0-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.22-1
libmpeg2 0.5.1-10
libmsym 0.2.3-9
libmtp 1.1.21-2
